5. Èþíü 2011 | 14:23:54 | - IpBans = 1
5. Èþíü 2011 | 14:23:54 | - TempBans = 1
5. Èþíü 2011 | 14:23:54 | - SpawnKill = 0
5. Èþíü 2011 | 14:23:54 | - CapsLock = 0
5. Èþíü 2011 | 14:23:54 | - 3DSpeed = 0
5. Èþíü 2011 | 14:23:54 | - MaxSpeed = 0
5. Èþíü 2011 | 14:23:54 | - AdminImmunity = 1
5. Èþíü 2011 | 14:23:54 | - Advertisement = 0
5. Èþíü 2011 | 14:23:54 | - FreezeUpdate = 1
5. Èþíü 2011 | 14:23:54 | - SpawnTime = 10
5. Èþíü 2011 | 14:23:54 | - CheckpointTeleport = 1
5. Èþíü 2011 | 14:23:54 | - Airbreak = 1
5. Èþíü 2011 | 14:23:54 | - TankMode = 1
5. Èþíü 2011 | 14:23:54 | - WarnPlayers = 0
5. Èþíü 2011 | 14:23:54 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 14:23:54 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 14:23:54 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 14:23:54 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 14:23:54 | 8 bad words have been loaded.
5. Èþíü 2011 | 14:23:54 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 14:23:54 | JunkBuster has been configurated.
5. Èþíü 2011 | 14:23:54 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 20:45:22 | Current JunkBuster configuration:
5. Èþíü 2011 | 20:45:22 | - WeaponHack = 1
5. Èþíü 2011 | 20:45:22 | - MoneyHack = 1
5. Èþíü 2011 | 20:45:22 | - Jetpack = 1
5. Èþíü 2011 | 20:45:22 | - HealthHack = 0
5. Èþíü 2011 | 20:45:22 | - ArmourHack = 0
5. Èþíü 2011 | 20:45:22 | - DriveBy = 1
5. Èþíü 2011 | 20:45:22 | - Spam = 1
5. Èþíü 2011 | 20:45:22 | - CommandSpam = 1
5. Èþíü 2011 | 20:45:22 | - BadWords = 1
5. Èþíü 2011 | 20:45:22 | - CarJackHack = 1
5. Èþíü 2011 | 20:45:22 | - TeleportHack = 1
5. Èþíü 2011 | 20:45:22 | - MaxPing = 500
5. Èþíü 2011 | 20:45:22 | - SpectateHack = 1
5. Èþíü 2011 | 20:45:22 | - Blacklist = 1
5. Èþíü 2011 | 20:45:22 | - IpBans = 1
5. Èþíü 2011 | 20:45:22 | - TempBans = 1
